fy,month,outlay_amount_M,date,outlay_amount,source_func_parent,total_OL_month
2016,1,39886.0,1-2016,39886000000.0,National Defense,258416000000.0
2016,1,3733.0,1-2016,3733000000.0,International Affairs,258416000000.0
2016,1,2028.0,1-2016,2028000000.0,"General Science, Space, and Technology",258416000000.0
2016,1,-104.0,1-2016,-104000000.0,Energy,258416000000.0
2016,1,2905.0,1-2016,2905000000.0,Natural Resources and Environment,258416000000.0
2016,1,1833.0,1-2016,1833000000.0,Agriculture,258416000000.0
2016,1,708.0,1-2016,708000000.0,Commerce and Housing Credit,258416000000.0
2016,1,5570.0,1-2016,5570000000.0,Transportation,258416000000.0
2016,1,1384.0,1-2016,1384000000.0,Community and Regional Development,258416000000.0
2016,1,10811.0,1-2016,10811000000.0,"Education, Training, Employment, and Social Services",258416000000.0
2016,1,38377.0,1-2016,38377000000.0,Health,258416000000.0
2016,1,44270.0,1-2016,44270000000.0,Medicare,258416000000.0
2016,1,29056.0,1-2016,29056000000.0,Income Security,258416000000.0
2016,1,49778.0,1-2016,49778000000.0,Social Security,258416000000.0
2016,1,6815.0,1-2016,6815000000.0,Veterans Benefits and Services,258416000000.0
2016,1,3934.0,1-2016,3934000000.0,Administration of Justice,258416000000.0
2016,1,2135.0,1-2016,2135000000.0,General Government,258416000000.0
2016,1,20726.0,1-2016,20726000000.0,Net Interest,258416000000.0
2016,1,-5430.0,1-2016,-5430000000.0,Undistributed Offsetting Receipts,258416000000.0
2016,1,258416.0,1-2016,258416000000.0,Total,258416000000.0
2016,12,56918.0,12-2016,56918000000.0,National Defense,346720000000.0
2016,12,2497.0,12-2016,2497000000.0,International Affairs,346720000000.0
2016,12,3122.0,12-2016,3122000000.0,"General Science, Space, and Technology",346720000000.0
2016,12,177.0,12-2016,177000000.0,Energy,346720000000.0
2016,12,3839.0,12-2016,3839000000.0,Natural Resources and Environment,346720000000.0
2016,12,3010.0,12-2016,3010000000.0,Agriculture,346720000000.0
2016,12,-7834.0,12-2016,-7834000000.0,Commerce and Housing Credit,346720000000.0
2016,12,8021.0,12-2016,8021000000.0,Transportation,346720000000.0
